#Supplementary Table 21: Meta-analysis results for ICD10/ICF subchapter level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICD-10/ICF subchapter,rMZall,rMZM,rMZF,rDZall,rDZSS,rDZM,rDZF,rDOS,SE_MZall,SE_MZM,SE_MZF,SE_DZall,SE_DZSS,SE_DZM,SE_DZF,SE_DOS,AFULL_all,ABEST_all,AFULL_SS,ABEST_SS,AFULL_M,ABEST_M,AFULL_F,ABEST_F,SE_AFULL_all,SE_ABEST_all,SE_AFULL_SS,SE_ABEST_SS,SE_AFULL_M,SE_ABEST_M,SE_AFULL_F,SE_ABEST_F,CFULL_all,CBEST_all,CFULL_SS,CBEST_SS,CFULL_M,CBEST_M,CFULL_F,CBEST_F,SE_CFULL_all,SE_CBEST_all,SE_CFULL_SS,SE_CBEST_SS,SE_CFULL_M,SE_CBEST_M,SE_CFULL_F,SE_CBEST_F,freq_rMZall,freq_rMZM,freq_rMZF,freq_rDZall,freq_rDZSS,freq_rDZM,freq_rDZF,freq_rDOS,freq_AFULL_all,freq_ABEST_all,freq_AFULL_SS,freq_ABEST_SS,freq_AFULL_M,freq_ABEST_M,freq_AFULL_F,freq_ABEST_F,freq_CFULL_all,freq_CBEST_all,freq_CFULL_SS,freq_CBEST_SS,freq_CFULL_M,freq_CBEST_M,freq_CFULL_F,freq_CBEST_F,nMZall,nMZM,nMZF,nDZall,nDZSS,nDZM,nDZF,nDOS,nAFULL_all,nABEST_all,nAFULL_SS,nABEST_SS,nAFULL_M,nABEST_M,nAFULL_F,nABEST_F,nCFULL_all,nCBEST_all,nCFULL_SS,nCBEST_SS,nCFULL_M,nCBEST_M,nCFULL_F,nCBEST_F
Irritable Bowel Syndrome,0.314,0.223,0.293,0.069,0.167,0.131,0.164,0.008,0.039,0.037,0.026,0.026,0.025,0.090,0.035,0.038,0.217,0.270,NA,NA,0.101,NA,0.219,NA,0.043,0.019,NA,NA,0.030,NA,0.076,NA,0.083,0.000,NA,NA,0.110,NA,0.068,NA,0.012,0.008,NA,NA,0.057,NA,0.067,NA,7,3,4,5,6,4,4,4,5,4,2,2,3,0,3,1,5,4,2,2,3,0,3,1,"4,805","1,859","2,497","12,270","6,529","2,743","3,444","6,026","16,709","16,595",706,706,"4,590",NA,"5,832","7,702","16,709","16,595",706,706,"4,590",NA,"5,832","7,702"
School Education,0.323,NA,NA,NA,0.221,NA,NA,NA,0.047,NA,NA,NA,0.036,NA,NA,NA,NA,NA,NA,0.123,NA,NA,NA,NA,NA,NA,NA,0.049,NA,NA,NA,NA,NA,NA,NA,0.165,NA,NA,NA,NA,NA,NA,NA,0.051,NA,NA,NA,NA,11,1,1,2,11,1,1,2,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,"1,142",131,132,485,720,121,99,215,NA,NA,NA,"1,287",NA,NA,NA,NA,NA,NA,NA,"1,287",NA,NA,NA,NA
Problems Related to Life-Management Difficulty,0.325,0.352,0.299,NA,NA,NA,NA,NA,0.013,0.020,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,2,2,2,2,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,"4,883","1,906","2,977","4,407","2,259",845,"1,414","2,148","7,110","7,110",NA,NA,"1,934","1,934","3,169","3,169","7,110","7,110",NA,NA,"1,934","1,934","3,169","3,169"
"Reaction to Severe Stress, and Adjustment Disorders",0.351,0.368,NA,0.014,NA,0.171,NA,NA,0.027,0.012,NA,0.035,NA,0.010,NA,NA,NA,0.332,NA,NA,0.296,0.352,NA,NA,NA,0.021,NA,NA,0.054,0.016,NA,NA,NA,0.000,NA,NA,0.047,0.011,NA,NA,NA,0.023,NA,NA,0.030,0.008,NA,NA,5,24,0,5,0,24,0,0,0,5,0,0,5,24,0,1,0,5,0,0,5,24,0,1,"1,027","35,473",NA,824,NA,"27,067",NA,NA,NA,"1,851",NA,NA,"13,943","61,728",NA,"1,772",NA,"1,851",NA,NA,"13,943","61,728",NA,"1,772"
"Acquiring, Keeping and Terminating A Job",0.351,0.497,0.439,NA,0.231,0.268,0.249,NA,0.031,0.055,0.029,NA,0.021,0.024,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,7,8,2,20,6,7,0,2,2,0,1,0,0,0,0,2,2,0,0,0,0,0,0,"6,275","1,479","1,862",154,"5,577","2,446","2,187",NA,340,340,NA,151,NA,NA,NA,NA,340,340,NA,NA,NA,NA,NA,NA
Osteoporosis In Diseases Classified Elsewhere,0.364,NA,NA,0.191,0.213,NA,NA,0.148,0.040,NA,NA,0.037,0.043,NA,NA,0.021,NA,NA,0.183,0.272,0.104,0.212,0.253,0.366,NA,NA,0.017,0.024,0.013,0.069,0.022,0.062,NA,NA,0.078,0.000,0.095,0.000,0.034,0.000,NA,NA,0.005,0.005,0.036,0.008,0.015,0.007,4,1,1,3,4,0,1,3,2,1,5,5,4,3,4,4,2,1,4,5,4,3,4,4,"1,672",50,97,"4,951","2,990",NA,221,"2,240","6,002","3,701","36,484","36,484","23,480","16,176","28,145","22,960","6,002","3,701","36,140","36,484","23,480","16,176","28,145","22,960"
Family Relationships,0.366,0.382,NA,0.406,0.243,0.296,NA,NA,0.018,0.024,NA,0.080,0.015,0.022,NA,NA,0.185,0.283,NA,0.370,0.284,0.311,0.299,0.343,0.094,0.102,NA,0.094,0.100,0.106,0.061,0.076,0.186,0.057,NA,0.409,0.327,0.305,0.307,0.293,0.058,0.070,NA,0.110,0.094,0.111,0.123,0.131,68,14,2,5,62,14,2,2,3,4,2,4,4,4,4,4,3,4,2,4,4,4,4,4,"11,105","3,476","1,008","4,080","7,238","1,788",614,"2,130","6,258","6,992","2,604","2,716","3,634","3,634","2,986","2,986","6,258","6,992","2,604","2,716","3,634","3,634","2,986","2,986"
Recurrent Depressive Disorder,0.366,0.398,0.381,0.119,0.143,0.152,0.173,0.100,0.018,0.031,0.013,0.009,0.015,0.022,0.013,0.017,0.452,0.522,0.387,0.339,0.374,0.492,0.380,0.449,0.049,0.031,0.084,0.034,0.052,0.034,0.030,0.025,0.028,0.040,0.100,0.015,0.022,0.021,0.044,0.024,0.026,0.026,0.064,0.017,0.016,0.020,0.034,0.016,22,20,31,20,20,20,29,18,5,15,3,9,7,16,11,30,5,15,3,9,7,16,11,30,"12,276","4,968","12,636","15,936","7,648","3,180","9,206","6,466","4,965","18,102","7,035","18,741","3,912","10,942","11,337","22,447","4,965","18,102","7,035","18,741","3,912","10,942","11,337","22,447"
Intimate Relationships,0.369,0.292,0.430,0.108,0.108,0.138,0.139,0.123,0.055,0.060,0.081,0.023,0.032,0.041,0.035,0.023,0.285,0.347,NA,0.313,0.200,0.237,0.309,0.351,0.107,0.108,NA,0.144,0.057,0.056,0.076,0.092,0.056,0.000,NA,0.138,0.073,0.067,0.065,0.039,0.044,0.011,NA,0.114,0.042,0.040,0.038,0.037,16,14,8,8,13,14,8,5,7,6,0,3,9,10,6,6,7,6,0,3,9,10,6,6,"9,085","9,646","3,095","4,757","5,826","8,641","2,436","1,824","9,968","8,708",NA,"2,438","16,817","17,165","4,572","3,851","9,968","8,708",NA,"2,438","16,817","17,165","4,572","3,851"
Mortality From Heart Disease,0.384,0.345,0.418,NA,0.212,0.184,0.206,NA,0.028,0.032,0.037,NA,0.026,0.043,0.044,NA,NA,NA,0.426,0.435,0.421,0.446,0.430,0.430,NA,NA,0.046,0.048,0.070,0.068,0.063,0.063,NA,NA,0.040,0.024,0.135,0.095,0.000,0.000,NA,NA,0.023,0.023,0.061,0.065,0.019,0.019,4,4,4,0,4,4,4,0,0,0,5,5,4,4,4,4,0,0,5,5,4,4,4,4,"2,089","1,121",909,NA,"4,022","2,103","1,825",NA,NA,NA,"7,320","7,320","3,225","3,225","2,734","2,734",NA,NA,"7,320","7,320","3,225","3,225","2,734","2,734"
Producing Drawings and Photographs,0.388,NA,NA,NA,0.014,NA,NA,NA,0.066,NA,NA,NA,0.185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gastro-Oesophageal Reflux Disease,0.389,NA,NA,0.037,0.120,NA,NA,NA,0.062,NA,NA,0.051,0.034,NA,NA,NA,0.256,NA,NA,NA,NA,NA,NA,NA,0.044,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,0.011,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,3,2,2,2,3,2,1,1,0,0,0,0,3,2,1,1,0,0,0,0,550,142,231,"6,336",833,256,348,"3,004","7,596","6,610",384,384,NA,NA,NA,NA,"7,596","6,610",384,384,NA,NA,NA,NA
All-Cause Mortality,0.392,0.356,0.374,NA,0.234,0.209,0.247,NA,0.040,0.044,0.042,NA,0.045,0.042,0.047,NA,NA,0.209,0.473,0.421,0.439,0.446,0.385,0.355,NA,0.081,0.013,0.025,0.050,0.036,0.038,0.028,NA,0.000,0.033,0.000,0.023,0.000,0.026,0.000,NA,0.018,0.021,0.006,0.023,0.009,0.026,0.008,26,27,25,1,25,27,25,0,2,3,3,11,5,12,5,12,2,3,3,11,5,12,5,12,"22,918","11,520","10,494",341,"40,683","19,321","20,074",NA,"1,200","3,076","15,019","28,378","7,268","12,370","8,882","14,361","1,200","3,076","15,019","28,378","7,268","12,370","8,882","14,361"
Dentofacial Anomalies [Including Malocclusion],0.399,NA,NA,0.182,NA,NA,NA,NA,0.107,NA,NA,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,NA,NA,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mood [Affective] Disorders,0.402,NA,NA,0.247,0.197,NA,NA,NA,0.061,NA,NA,0.038,0.057,NA,NA,NA,0.609,0.625,0.108,NA,NA,NA,NA,NA,0.086,0.089,0.042,NA,NA,NA,NA,NA,0.082,0.058,0.123,NA,NA,NA,NA,NA,0.048,0.060,0.049,NA,NA,NA,NA,NA,8,1,1,4,5,1,1,1,4,4,4,0,1,1,1,1,4,4,4,0,1,1,1,1,"6,580","2,761","3,201","20,758","9,835","4,567","4,872","10,903","26,894","26,894",840,NA,"7,328","7,328","8,073","8,073","26,894","26,894",840,NA,"7,328","7,328","8,073","8,073"
Individual Attitudes of Strangers,0.413,0.517,0.504,0.197,0.231,0.175,0.325,0.129,0.022,0.049,0.028,0.039,0.018,0.125,0.033,0.083,0.348,0.479,0.238,0.329,0.367,NA,0.340,0.419,0.043,0.022,0.024,0.031,0.023,NA,0.064,0.149,0.154,0.000,0.132,0.114,0.078,0.000,0.191,NA,0.059,0.014,0.027,0.026,0.076,0.027,0.054,NA,58,3,3,10,51,3,3,3,3,9,18,37,3,2,3,3,3,9,18,37,3,3,3,2,"14,362",875,"1,840","3,305","9,260",526,"1,034","1,045","5,320","5,500","5,398","12,432","1,401",924,"2,874","2,874","5,320","5,500","5,398","12,432","1,401","1,401","2,874","1,886"
Physical Appearance,0.421,NA,NA,NA,0.265,NA,NA,NA,0.033,NA,NA,NA,0.044,NA,NA,NA,NA,NA,NA,0.499,NA,NA,NA,NA,NA,NA,NA,0.036,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,0.032,NA,NA,NA,NA,3,0,2,0,3,0,2,0,0,0,0,3,0,0,2,2,0,0,0,3,0,0,2,2,585,NA,104,NA,423,NA,100,NA,NA,NA,NA,"1,008",NA,NA,204,204,NA,NA,NA,"1,008",NA,NA,204,204
Other Arthrosis,0.429,NA,0.583,NA,0.176,NA,0.277,NA,0.027,NA,0.031,NA,0.031,NA,0.028,NA,NA,NA,NA,NA,NA,NA,NA,0.589,NA,NA,NA,NA,NA,NA,NA,0.030,NA,NA,NA,NA,NA,NA,NA,0.017,NA,NA,NA,NA,NA,NA,NA,0.024,6,2,23,2,7,2,23,2,2,1,0,0,2,2,2,18,2,1,0,0,2,2,2,18,"1,391",310,"2,181","1,182",971,154,"2,196",488,"2,484","1,242",NA,NA,464,"2,593","1,532","1,820","2,484","1,242",NA,NA,464,"2,593","1,532","1,820"
Psychomotor Functions,0.434,0.377,0.358,0.226,0.232,0.208,0.164,0.311,0.021,0.061,0.039,0.017,0.039,0.053,0.055,0.062,0.315,0.298,0.278,0.296,NA,NA,0.160,0.159,0.033,0.049,0.051,0.080,NA,NA,0.145,0.077,0.091,0.009,0.110,NA,NA,NA,0.486,0.395,0.021,0.011,0.038,NA,NA,NA,0.158,0.142,49,11,19,31,20,11,19,10,20,25,8,5,0,1,3,4,20,25,8,1,0,1,3,4,"6,002",469,762,"5,096","1,522",382,518,376,"7,137","8,156","1,846","1,346",NA,104,60,160,"7,137","8,156","1,846",82,NA,104,60,160
Methylation,0.438,0.341,0.218,NA,0.280,0.143,0.160,NA,0.064,0.103,0.083,NA,0.058,0.120,0.080,NA,NA,0.312,NA,NA,NA,NA,NA,NA,NA,0.103,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,0.048,NA,NA,NA,NA,NA,NA,11,3,5,0,11,3,5,0,0,11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,526,69,135,NA,475,69,152,NA,NA,801,NA,NA,NA,NA,NA,NA,NA,445,NA,NA,NA,NA,NA,NA
Procreation Functions,0.442,0.388,0.370,0.255,NA,0.225,0.181,NA,0.067,0.060,0.020,0.143,NA,0.078,0.014,NA,NA,NA,NA,NA,NA,NA,0.467,0.455,NA,NA,NA,NA,NA,NA,0.038,0.035,NA,NA,NA,NA,NA,NA,0.019,0.000,NA,NA,NA,NA,NA,NA,0.015,0.012,5,9,17,3,2,9,18,0,1,1,0,0,0,0,5,7,1,0,0,0,0,0,5,7,"1,829",607,"8,589",960,"1,622",856,"7,752",NA,748,748,NA,NA,NA,NA,"4,310","6,913",748,NA,NA,NA,NA,NA,"4,310","6,913"
Experience of Self and Time Functions,0.442,0.510,0.529,0.155,0.222,0.293,0.292,0.190,0.038,0.049,0.033,0.025,0.048,0.068,0.041,0.065,0.365,0.558,NA,0.427,0.351,0.494,0.383,0.341,0.017,0.072,NA,0.052,0.037,0.029,0.018,0.039,0.046,0.000,NA,0.000,0.074,0.000,0.077,0.000,0.015,0.009,NA,0.020,0.124,0.030,0.061,0.029,21,24,24,9,20,23,23,10,14,5,0,3,11,3,11,3,14,5,0,3,11,4,11,3,"19,103","7,519","12,234","12,847","12,157","5,408","7,824","7,082","21,465","13,812",NA,"2,400","7,744",634,"13,400","1,184","21,465","13,812",NA,"2,400","7,744","1,128","13,400","1,184"
Societal Attitudes,0.446,0.543,0.507,0.293,0.249,0.410,0.300,0.320,0.030,0.074,0.071,0.057,0.040,0.104,0.083,0.094,0.305,0.374,0.397,0.405,0.203,0.270,0.276,0.334,0.022,0.034,0.038,0.034,0.036,0.064,0.021,0.031,0.200,0.124,0.065,0.065,0.403,0.253,0.267,0.251,0.040,0.060,0.030,0.033,0.053,0.096,0.042,0.043,39,7,7,14,30,7,7,5,16,11,9,20,9,6,9,6,16,11,9,20,9,6,9,6,"23,500","3,049","6,311","12,014","12,531","1,762","3,810","3,910","29,298","10,998","4,850","6,370","6,929","2,670","13,327","3,738","29,298","10,998","4,850","6,370","6,929","2,670","13,327","3,738"
Specific Personality Disorders,0.448,0.387,0.406,0.225,-0.088,0.247,0.201,0.142,0.009,0.048,0.023,0.007,0.042,0.012,0.014,0.020,0.622,0.436,0.492,0.463,NA,NA,0.308,0.375,0.052,0.013,0.042,0.024,NA,NA,0.044,0.022,0.025,0.009,0.060,0.000,NA,NA,0.131,0.079,0.033,0.005,0.024,0.009,NA,NA,0.024,0.040,162,21,25,140,43,20,24,17,13,139,15,25,1,2,4,5,13,139,15,25,1,2,4,5,"41,460","6,466","10,932","33,681","11,976","6,042","7,723","2,341","4,246","97,528","1,703","12,253",337,"6,732","2,328","3,553","4,246","97,528","1,703","12,253",337,"6,732","2,328","3,553"
Taste Function,0.449,NA,0.632,0.356,0.174,NA,0.321,NA,0.090,NA,0.075,0.073,0.055,NA,0.032,NA,NA,0.384,NA,NA,NA,NA,NA,0.484,NA,0.050,NA,NA,NA,NA,NA,0.039,NA,0.019,NA,NA,NA,NA,NA,0.000,NA,0.028,NA,NA,NA,NA,NA,0.023,17,1,7,3,7,1,7,1,1,10,0,0,0,0,0,6,1,10,0,0,0,0,0,6,"1,148",27,933,145,559,34,"1,080",11,138,"1,299",NA,NA,NA,NA,NA,"1,944",138,"1,299",NA,NA,NA,NA,NA,"1,944"
Depressive Episode,0.454,0.453,0.496,0.253,0.278,0.254,0.267,0.257,0.014,0.016,0.016,0.015,0.014,0.015,0.015,0.023,0.344,0.388,0.351,0.459,0.344,0.331,0.402,0.427,0.017,0.018,0.019,0.024,0.020,0.016,0.016,0.018,0.107,0.035,0.148,0.027,0.110,0.038,0.114,0.046,0.012,0.006,0.035,0.011,0.015,0.010,0.016,0.011,173,99,108,115,103,91,98,56,97,95,33,33,59,54,68,65,97,94,34,37,59,55,66,64,"98,315","43,816","51,415","121,936","59,044","35,706","38,855","49,370","178,790","135,299","36,230","36,760","63,500","54,172","70,786","62,047","178,790","134,956","36,713","39,254","63,500","54,406","68,088","61,717"
Attention Functions,0.463,0.420,0.447,0.228,0.237,0.196,0.200,0.151,0.027,0.058,0.058,0.032,0.034,0.060,0.044,0.045,0.370,0.435,0.305,NA,0.566,0.490,0.510,0.537,0.070,0.044,0.085,NA,0.052,0.108,0.128,0.044,0.094,0.017,0.305,NA,0.095,0.088,0.257,0.005,0.040,0.014,0.076,NA,0.068,0.079,0.163,0.033,54,16,16,35,30,14,16,14,10,28,8,0,4,6,4,5,10,28,8,0,4,6,4,5,"4,663",646,"1,288","3,066","1,672",443,662,501,"1,530","5,388",223,NA,216,781,236,932,"1,530","5,388",223,NA,216,781,236,932
Temperament and Personality Functions,0.470,0.477,0.473,0.234,0.213,0.223,0.255,0.236,0.008,0.019,0.017,0.011,0.010,0.016,0.014,0.024,0.439,0.440,0.353,0.413,0.336,0.439,0.351,0.374,0.013,0.009,0.013,0.015,0.021,0.017,0.013,0.013,0.133,0.053,0.122,0.036,0.172,0.080,0.127,0.105,0.012,0.009,0.013,0.007,0.022,0.024,0.017,0.018,1134,294,316,568,711,292,314,166,310,525,130,227,105,82,164,158,310,549,131,249,105,90,164,166,"334,190","71,518","107,168","296,114","183,871","73,163","93,343","90,680","461,041","497,301","67,421","105,338","81,357","72,825","152,904","131,479","461,041","539,691","67,904","119,129","81,357","81,415","152,904","136,093"
