#Supplementary Table 20: Meta-analysis results for ICD10/ICF chapter level.
ICD10-ICF Chapter,rMZall,rMZM,rMZF,rDZall,rDZSS,rDZM,rDZF,rDOS,SE_MZall,SE_MZM,SE_MZF,SE_DZall,SE_DZSS,SE_DZM,SE_DZF,SE_DOS,AFULL_all,ABEST_all,AFULL_SS,ABEST_SS,AFULL_M,ABEST_M,AFULL_F,ABEST_F,SE_AFULL_all,SE_ABEST_all,SE_AFULL_SS,SE_ABEST_SS,SE_AFULL_M,SE_ABEST_M,SE_AFULL_F,SE_ABEST_F,CFULL_all,CBEST_all,CFULL_SS,CBEST_SS,CFULL_M,CBEST_M,CFULL_F,CBEST_F,SE_CFULL_all,SE_CBEST_all,SE_CFULL_SS,SE_CBEST_SS,SE_CFULL_M,SE_CBEST_M,SE_CFULL_F,SE_CBEST_F,freq_rMZall,freq_rMZM,freq_rMZF,freq_rDZall,freq_rDZSS,freq_rDZM,freq_rDZF,freq_rDOS,freq_AFULL_all,freq_ABEST_all,freq_AFULL_SS,freq_ABEST_SS,freq_AFULL_M,freq_ABEST_M,freq_AFULL_F,freq_ABEST_F,freq_CFULL_all,freq_CBEST_all,freq_CFULL_SS,freq_CBEST_SS,freq_CFULL_M,freq_CBEST_M,freq_CFULL_F,freq_CBEST_F,nMZall,nMZM,nMZF,nDZall,nDZSS,nDZM,nDZF,nDOS,nAFULL_all,nABEST_all,nAFULL_SS,nABEST_SS,nAFULL_M,nABEST_M,nAFULL_F,nABEST_F,nCFULL_all,nCBEST_all,nCFULL_SS,nCBEST_SS,nCFULL_M,nCBEST_M,nCFULL_F,nCBEST_F
Attitudes,0.427,0.536,0.507,0.254,0.238,0.343,0.310,0.252,0.018,0.057,0.053,0.043,0.021,0.094,0.061,0.077,0.312,0.420,0.295,0.356,0.244,0.286,0.292,0.379,0.020,0.026,0.027,0.024,0.034,0.049,0.022,0.066,0.192,0.070,0.109,0.098,0.328,0.169,0.248,0.175,0.035,0.043,0.021,0.021,0.058,0.087,0.035,0.063,97,10,10,24,81,10,10,8,19,20,27,57,12,8,12,9,19,20,27,57,12,9,12,8,"37,862","3,924","8,151","15,319","21,791","2,288","4,844","4,955","34,618","16,498","10,248","18,802","8,330","3,594","16,201","6,612","34,618","16,498","10,248","18,802","8,330","4,071","16,201","5,624"
Neuromusculoskeletal and Movement-Related Functions,0.467,0.687,0.809,0.273,0.394,0.287,0.408,NA,0.034,0.024,0.028,0.077,0.041,0.025,0.040,NA,NA,0.621,NA,0.554,0.627,0.596,0.378,0.626,NA,0.046,NA,0.021,0.028,0.028,0.085,0.065,NA,0.000,NA,0.000,0.053,0.011,0.245,0.083,NA,0.041,NA,0.022,0.013,0.012,0.068,0.060,31,40,27,9,20,40,27,0,2,15,0,8,8,50,9,13,2,15,0,8,4,50,7,13,"1,398","8,577","1,332",156,657,"8,727","1,306",NA,24,641,NA,"2,073","10,422","7,156","2,001","1,735",24,641,NA,"2,073","10,358","7,156","1,295","1,735"
Functions of the Skin and Related Structures,0.498,0.674,0.595,0.318,0.192,0.268,0.249,0.375,0.035,0.047,0.054,0.034,0.037,0.028,0.042,0.062,NA,0.519,0.356,0.371,NA,0.663,0.585,0.533,NA,0.118,0.021,0.034,NA,0.074,0.071,0.098,NA,0.000,0.031,0.000,NA,0.000,0.074,0.000,NA,0.031,0.024,0.024,NA,0.025,0.048,0.036,22,12,13,12,15,12,13,5,2,4,10,10,2,8,9,9,2,3,10,10,2,7,9,8,"2,122","1,247",902,"1,494","1,497","1,124",765,502,"1,087","1,580","1,730","1,730",388,"1,830","1,135","1,028","1,087","1,019","1,730","1,730",388,"1,627","1,135",807
Diseases of the Genitourinary System,NA,0.536,0.414,NA,NA,0.397,0.192,NA,NA,0.073,0.022,NA,NA,0.080,0.024,NA,NA,NA,NA,NA,0.399,0.615,0.406,0.427,NA,NA,NA,NA,0.072,0.157,0.020,0.031,NA,NA,NA,NA,NA,0.000,0.028,0.000,NA,NA,NA,NA,NA,0.016,0.027,0.007,0,8,46,0,0,9,45,0,0,0,0,0,12,4,18,24,0,0,0,0,2,4,18,25,NA,"1,853","11,458",NA,NA,"1,454","7,912",NA,NA,NA,NA,NA,"3,540","3,824","19,903","13,356",NA,NA,NA,NA,"2,046","3,824","19,903","21,211"
Self-Care,0.507,0.481,0.480,0.255,0.284,0.263,0.279,0.169,0.013,0.013,0.011,0.013,0.010,0.011,0.010,0.010,0.424,0.364,0.382,0.423,0.359,0.402,0.420,0.373,0.016,0.011,0.024,0.018,0.019,0.016,0.017,0.014,0.120,0.060,0.130,0.079,0.128,0.071,0.117,0.105,0.017,0.011,0.015,0.013,0.013,0.012,0.014,0.013,293,247,268,165,260,238,258,141,81,233,54,92,105,146,105,161,81,234,54,91,105,149,105,167,"132,215","63,636","88,340","133,760","138,058","68,918","105,624","58,132","168,792","227,774","101,111","115,785","123,330","106,556","124,487","123,824","168,792","229,724","101,111","115,634","123,330","106,083","124,487","132,558"
"Injury, Poisoning and Certain Other Consequences of External Causes",0.508,NA,0.593,0.258,NA,NA,0.278,NA,0.064,NA,0.022,0.053,NA,NA,0.038,NA,0.537,0.626,NA,NA,NA,NA,0.112,0.523,0.073,0.042,NA,NA,NA,NA,0.097,0.032,0.114,0.026,NA,NA,NA,NA,0.202,0.001,0.069,0.028,NA,NA,NA,NA,0.096,0.010,13,2,11,14,2,2,11,2,9,18,0,0,0,0,3,9,9,19,0,0,0,1,3,10,"3,841",670,"5,271","5,328","1,418",524,"5,341","1,309","4,883","10,871",NA,NA,NA,NA,166,"8,746","4,883","14,205",NA,NA,NA,923,166,"10,178"
Diseases of the Nervous System,0.509,0.401,0.449,0.272,0.215,0.168,0.228,0.194,0.016,0.019,0.016,0.024,0.013,0.016,0.013,0.019,0.473,0.522,0.361,0.425,0.386,0.455,0.398,0.456,0.020,0.030,0.027,0.025,0.037,0.026,0.028,0.019,0.076,0.015,0.030,0.002,0.033,0.003,0.035,0.011,0.021,0.009,0.010,0.004,0.021,0.007,0.012,0.006,58,39,44,30,40,37,49,18,20,24,22,28,14,18,24,33,20,27,22,28,13,19,24,33,"27,561","16,010","17,354","15,148","36,830","18,771","21,353","5,032","26,410","68,187","44,490","70,778","6,052","18,614","16,817","39,454","26,410","76,423","44,490","70,778","5,949","21,255","16,817","39,454"
Products and Technology,0.522,NA,NA,NA,NA,NA,NA,NA,0.074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,1,2,2,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,"3,819",652,"1,239","1,842","1,127",409,732,782,"3,660",NA,719,160,907,NA,"1,971",NA,"3,660",NA,719,160,907,NA,"1,971",NA
Diseases of the Musculoskeletal System and Connective Tissue,0.527,0.345,0.487,0.220,0.253,0.207,0.243,0.184,0.019,0.022,0.019,0.023,0.017,0.026,0.017,0.030,0.383,0.429,0.304,0.444,0.286,0.324,0.351,0.483,0.049,0.045,0.048,0.021,0.027,0.040,0.028,0.021,0.060,0.075,0.043,0.025,0.136,0.076,0.042,0.023,0.018,0.024,0.015,0.010,0.024,0.024,0.014,0.010,64,35,58,18,63,34,61,17,22,27,10,48,30,25,18,50,19,24,9,48,21,25,18,50,"26,720","7,010","9,836","35,869","29,820","8,039","12,930","17,270","131,017","131,463","48,209","98,823","42,143","31,540","47,513","54,602","80,869","81,315","47,865","98,823","39,443","31,540","47,513","54,602"
Diseases of the Digestive System,0.534,0.373,0.399,0.245,0.258,0.239,0.251,0.153,0.024,0.032,0.034,0.027,0.024,0.035,0.036,0.038,0.312,0.439,0.455,0.499,0.227,0.327,0.298,0.386,0.034,0.019,0.060,0.034,0.053,0.025,0.070,0.077,0.103,0.039,0.039,0.018,0.171,0.096,0.129,0.087,0.023,0.016,0.039,0.016,0.042,0.037,0.055,0.044,70,17,16,46,45,18,15,15,18,53,8,14,8,7,6,5,17,61,8,14,8,7,6,6,"11,149","7,677","5,111","28,388","13,409","8,507","6,599","13,390","32,199","36,791","2,631","18,542","8,877","9,287","10,185","10,167","31,885","37,247","2,631","18,542","8,877","9,287","10,185","13,675"
Mental Functions,0.552,0.517,0.504,0.291,0.283,0.271,0.283,0.273,0.006,0.013,0.013,0.008,0.008,0.011,0.011,0.016,0.451,0.455,0.426,0.459,0.393,0.430,0.367,0.370,0.008,0.007,0.009,0.009,0.013,0.013,0.011,0.011,0.154,0.085,0.219,0.101,0.147,0.079,0.149,0.122,0.008,0.007,0.014,0.013,0.015,0.015,0.015,0.016,2132,561,526,1081,1290,539,511,347,663,880,387,436,221,179,224,219,675,940,388,453,221,215,224,239,"641,104","132,523","150,808","613,317","319,303","132,001","128,477","130,009","936,816","936,019","342,612","360,277","149,711","129,177","198,911","168,734","941,004","1,025,383","343,095","375,858","149,711","147,017","198,911","182,490"
Sensory Functions and Pain,0.564,0.552,0.613,0.132,0.261,0.219,0.305,0.279,0.029,0.033,0.040,0.022,0.020,0.024,0.025,0.093,0.375,0.358,0.657,0.748,0.457,0.276,0.602,0.509,0.036,0.031,0.028,0.037,0.066,0.045,0.080,0.030,0.063,0.004,0.055,0.043,0.032,0.000,0.124,0.006,0.008,0.008,0.016,0.016,0.018,0.012,0.086,0.010,113,49,33,45,69,49,35,4,18,27,37,15,10,8,7,40,18,27,19,20,10,8,7,39,"10,932","7,940","4,879","11,936","12,260","9,561","6,587","4,054","13,918","15,204","4,570","3,611","3,077","6,726","2,622","22,557","13,918","15,204","3,778","3,846","3,077","6,726","2,622","21,948"
Major Life Areas,0.568,0.595,0.573,0.406,0.406,0.413,0.422,0.324,0.015,0.024,0.025,0.017,0.016,0.022,0.037,0.024,0.297,0.268,0.275,0.234,0.344,0.320,0.307,0.214,0.018,0.023,0.027,0.025,0.023,0.038,0.025,0.023,0.277,0.288,0.321,0.286,0.231,0.230,0.315,0.349,0.020,0.024,0.033,0.031,0.022,0.031,0.026,0.051,229,81,129,127,162,80,129,69,87,88,58,76,54,33,61,92,87,93,58,75,54,41,61,92,"93,009","34,117","63,629","88,031","74,787","33,986","52,882","31,331","180,275","166,658","36,713","43,684","67,110","48,186","57,937","87,985","180,275","162,999","36,713","43,531","67,110","49,459","57,937","85,653"
Functions of the Nervous System,0.676,0.702,0.706,0.287,0.324,0.304,0.354,0.295,0.006,0.010,0.009,0.006,0.007,0.009,0.009,0.009,0.441,0.563,0.423,0.424,0.598,0.593,0.375,0.514,0.031,0.016,0.021,0.033,0.023,0.020,0.089,0.021,0.040,0.030,0.101,0.035,0.027,0.010,0.283,0.096,0.009,0.007,0.016,0.016,0.031,0.012,0.057,0.021,1010,457,428,594,592,455,426,381,86,212,78,103,13,102,10,128,86,217,78,57,13,100,10,128,"69,722","16,589","19,482","58,951","33,980","15,739","15,357","15,065","13,729","42,708","8,618","8,357","1,488","7,597",738,"11,515","13,729","43,141","8,618","4,737","1,488","7,469",738,"11,515"
"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",0.589,0.534,0.464,0.440,0.367,0.351,0.260,0.355,0.048,0.065,0.054,0.040,0.054,0.058,0.056,0.125,NA,0.529,0.260,0.586,0.160,NA,0.313,NA,NA,0.102,0.065,0.109,0.118,NA,0.028,NA,NA,0.000,0.095,0.278,0.220,NA,0.006,NA,NA,0.047,0.047,0.114,0.109,NA,0.015,NA,12,6,9,9,9,7,8,3,2,4,3,5,3,0,4,0,2,4,3,5,3,1,4,2,"1,364",323,859,968,"1,064",326,687,104,364,466,"1,655","4,918",416,NA,"4,356",NA,364,466,"1,655","4,918",416,174,"4,356","3,542"
Genitourinary and Reproductive Functions,0.592,0.441,0.474,0.451,0.479,0.300,0.225,NA,0.130,0.077,0.029,0.197,0.184,0.073,0.029,NA,NA,NA,NA,NA,0.244,0.112,0.483,0.449,NA,NA,NA,NA,0.045,0.108,0.039,0.030,NA,NA,NA,NA,0.165,0.099,0.073,0.003,NA,NA,NA,NA,0.095,0.093,0.061,0.006,6,22,64,4,3,21,59,2,2,1,1,1,9,3,23,42,2,0,1,1,9,3,23,42,"2,839","3,713","25,512","2,882","2,624","3,526","16,755","1,526","3,680",748,534,534,"4,990",436,"16,210","31,753","3,680",NA,534,534,"4,990",436,"16,210","31,753"
Diseases of the Circulatory System,0.593,0.536,0.546,0.566,0.266,0.415,0.275,NA,0.075,0.024,0.038,0.146,0.036,0.045,0.046,NA,0.428,NA,0.323,0.397,0.453,0.549,0.273,0.445,0.111,NA,0.021,0.043,0.067,0.021,0.107,0.062,0.557,NA,0.060,0.000,0.041,0.000,0.039,0.000,0.137,NA,0.024,0.005,0.022,0.007,0.026,0.007,10,12,8,4,6,11,8,0,3,2,4,8,6,9,4,11,3,2,4,8,6,9,4,11,"4,445","7,106","1,389",684,"6,171","6,975","2,762",NA,"1,300",616,"8,458","38,665","8,427","18,855","8,946","18,047","1,300",616,"8,458","38,665","8,427","18,855","8,946","18,047"
"Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems",0.600,0.566,0.553,0.326,0.317,0.278,0.304,0.236,0.006,0.010,0.011,0.008,0.011,0.010,0.010,0.014,0.472,0.501,0.434,0.528,0.424,0.497,0.382,0.477,0.017,0.011,0.024,0.021,0.024,0.016,0.021,0.020,0.160,0.034,0.165,0.065,0.141,0.057,0.189,0.077,0.022,0.006,0.024,0.024,0.022,0.015,0.023,0.016,785,329,259,556,306,313,245,135,222,365,49,88,66,80,62,120,72,372,44,83,61,70,57,116,"68,427","21,617","24,355","70,250","32,534","18,022","27,096","10,672","55,870","89,534","19,117","28,642","8,304","18,344","26,419","40,612","29,323","90,823","17,030","27,971","7,622","16,804","24,711","38,977"
Mental and Behavioural Disorders,0.605,0.573,0.592,0.343,0.354,0.339,0.339,0.317,0.005,0.007,0.006,0.006,0.006,0.006,0.006,0.007,0.474,0.496,0.442,0.501,0.420,0.472,0.425,0.457,0.007,0.006,0.009,0.009,0.009,0.009,0.008,0.008,0.169,0.098,0.196,0.104,0.174,0.110,0.170,0.117,0.006,0.005,0.010,0.009,0.006,0.007,0.007,0.007,1661,1167,1119,1154,1103,1138,1081,666,819,1018,330,417,769,669,701,693,819,1041,331,430,687,695,687,708,"879,979","500,933","460,866","1,066,219","595,330","460,857","362,163","436,300","1,599,456","1,613,642","348,505","485,305","928,269","772,650","600,064","587,515","1,599,456","1,695,763","348,988","490,144","717,616","811,780","582,266","602,317"
Medication Effects,0.608,NA,NA,NA,NA,NA,NA,NA,0.110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Community, Social and Civic Life",0.640,0.688,0.757,0.536,0.422,0.538,0.652,0.505,0.049,0.070,0.050,0.075,0.089,0.089,0.073,0.110,0.345,0.394,NA,NA,0.259,0.207,0.318,0.148,0.033,0.047,NA,NA,0.036,0.069,0.063,0.044,0.326,0.202,NA,NA,0.384,0.348,0.491,0.497,0.049,0.072,NA,NA,0.058,0.076,0.069,0.109,53,22,28,29,41,21,28,17,22,19,1,1,20,11,29,20,22,16,1,0,20,10,29,15,"16,393","3,586","9,481","14,044","8,348","2,255","6,468","4,416","20,811","14,432","1,112",151,"9,503","7,212","20,804","10,506","20,811","13,423","1,112",NA,"9,503","7,112","20,804","12,385"
Diseases of the Skin and Subcutaneous Tissue,0.687,0.608,0.655,0.277,0.266,0.211,0.270,0.231,0.040,0.055,0.046,0.029,0.047,0.067,0.051,0.032,0.685,0.788,0.445,0.445,0.653,NA,0.770,0.809,0.049,0.020,0.042,0.042,0.031,NA,0.022,0.007,0.051,0.000,0.000,0.000,0.125,NA,0.013,0.000,0.020,0.004,0.016,0.016,0.056,NA,0.022,0.022,16,10,13,14,14,9,11,8,11,12,3,3,4,2,6,3,11,14,3,3,4,2,6,5,"7,037","1,306","4,048","10,613","3,581","1,220","3,025","2,056","21,413","58,695","3,807","3,807",315,253,"2,169","1,986","21,413","68,146","3,807","3,807",315,253,"2,169","2,113"
"Structures of the Cardiovascular, Immunological and Respiratory Systems",0.692,0.510,0.595,0.336,0.339,0.328,0.343,0.271,0.033,0.050,0.038,0.023,0.048,0.071,0.027,0.069,0.621,0.528,0.786,0.790,NA,NA,0.540,0.603,0.042,0.031,0.032,0.033,NA,NA,0.083,0.071,0.073,0.019,0.000,0.000,NA,NA,0.066,0.059,0.036,0.017,0.057,0.057,NA,NA,0.045,0.056,15,6,8,12,7,6,8,4,8,17,3,3,2,2,4,3,8,17,3,3,2,2,4,3,"1,280",266,"1,034","1,475",328,158,"1,080",176,"3,808","6,380",319,319,192,192,"1,878","1,631","3,808","6,380",319,319,192,192,"1,878","1,631"
Factors Influencing Health Status and Contact with Health Services,0.694,0.420,0.648,0.474,0.456,0.370,0.463,0.472,0.047,0.054,0.054,0.091,0.088,0.101,0.088,0.097,NA,NA,0.580,0.751,NA,NA,NA,NA,NA,NA,0.094,0.089,NA,NA,NA,NA,NA,NA,0.381,0.289,NA,NA,NA,NA,NA,NA,0.092,0.141,NA,NA,NA,NA,7,6,7,6,6,6,6,6,1,1,4,4,1,1,1,1,1,1,4,4,1,1,1,1,"5,048","1,931","3,086","4,831","2,486",913,"1,551","2,308","7,110","7,110",393,393,"1,934","1,934","3,169","3,169","7,110","7,110",393,393,"1,934","1,934","3,169","3,169"
Structures of the Nervous System,0.718,0.591,0.819,0.331,0.451,0.216,0.505,0.323,0.007,0.013,0.027,0.026,0.009,0.010,0.054,0.051,0.596,0.499,0.541,0.641,0.516,0.522,NA,NA,0.030,0.023,0.011,0.040,0.014,0.008,NA,NA,0.115,0.013,0.204,0.055,0.037,0.001,NA,NA,0.019,0.008,0.009,0.016,0.005,0.003,NA,NA,645,256,13,62,577,256,13,13,76,151,475,42,215,723,0,0,66,173,476,96,215,809,0,0,"26,851","23,084",393,"5,208","18,602","18,826",311,372,"9,977","14,883","33,688","3,494","40,324","140,085",NA,NA,"8,907","17,113","33,714","9,163","40,324","158,946",NA,NA
Natural Environment and Human-Made Changes to Environment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,742,NA,NA,NA,574,NA,NA,NA,NA,NA,"1,316","1,316",NA,NA,NA,NA,NA,NA,"1,316","1,316",NA,NA,NA,NA
Structure of Dna,0.719,0.652,0.456,0.271,0.271,0.485,0.163,NA,0.032,0.111,0.047,0.034,0.042,0.153,0.031,NA,NA,0.458,NA,0.142,NA,0.000,NA,0.463,NA,0.067,NA,0.041,NA,0.046,NA,0.087,NA,0.000,NA,0.065,NA,0.495,NA,0.003,NA,0.023,NA,0.042,NA,0.220,NA,0.034,45,14,17,31,14,14,17,0,1,17,0,3,1,4,2,6,1,31,0,3,1,5,2,6,"1,806",400,829,876,793,355,993,NA,172,"1,477",NA,574,306,492,458,867,172,"2,021",NA,574,306,513,458,867
